39.90625	-105.59375	0.0021
39.84375	-105.71875	0.2474
39.84375	-105.65625	0.6268
39.84375	-105.59375	0.9319
39.84375	-105.53125	0.8603
39.84375	-105.46875	0.2546
39.84375	-105.40625	0.0842
39.84375	-105.34375	0.049
39.78125	-105.90625	0.1486
39.78125	-105.84375	0.6628
39.78125	-105.78125	0.7855
39.78125	-105.71875	0.9662
39.78125	-105.65625	1
39.78125	-105.59375	1
39.78125	-105.53125	1
39.78125	-105.46875	1
39.78125	-105.40625	0.9362
39.78125	-105.34375	0.7632
39.78125	-105.28125	0.188
39.78125	-105.21875	0.0254
39.71875	-105.90625	0.5034
39.71875	-105.84375	1
39.71875	-105.78125	1
39.71875	-105.71875	1
39.71875	-105.65625	1
39.71875	-105.59375	1
39.71875	-105.53125	1
39.71875	-105.46875	1
39.71875	-105.40625	0.9979
39.71875	-105.34375	0.8341
39.71875	-105.28125	0.5932
39.71875	-105.21875	0.0324
39.65625	-105.90625	0.3048
39.65625	-105.84375	0.6166
39.65625	-105.78125	0.9262
39.65625	-105.71875	1
39.65625	-105.65625	1
39.65625	-105.59375	0.5983
39.65625	-105.53125	0.182
39.65625	-105.46875	0.2056
39.65625	-105.40625	0.2055
39.65625	-105.34375	3e-04
39.59375	-105.78125	0.2135
39.59375	-105.71875	0.4469
39.59375	-105.65625	0.268
39.59375	-105.59375	0.0339
